Key,Avatar,Episode,Content
鳥谷真琴厨,鳥谷真琴厨.webp,因为要求太高导致大部分文本重翻的监修,记得22年的某一天，喜欢的女生对我说，她很想玩虫爱，但没有汉化。@n恐怕就是因为这几句话，我才会在半年后忽悠夕里和喵喵酱开虫爱。@n虽然开坑之后，我就跟她断了联系，@n夕里也很快就跑路了，整个24年基本没有进度。@p但好在喵喵酱没有放弃虫爱，所以才有现在的合作，@n跟甜心组一起填完坑……真的非常感谢喵喵酱，@n如果没有他的辛勤付出，虫爱依然会是万年大坑吧。@p（私货一则：请来看我们百合神作《ふつおたはいりません!》 ）
喵喵酱,喵喵酱.webp,反正就是给所有人都擦了个屁股的卫生纸,大家好，我是接了这个虫子游戏然后冲到肾虚的喵喵酱。@p《虫爱少女》这部上古猎奇作品经历了15年汉化终于圆满了。@n为了呈现出更好汉化效果，这部作品的好多岗位都换了好多次x@n留下来的勇士也几乎都是身兼数职，感谢感谢。@p话说我刚推这部游戏时，我还以为是《和怪物谈恋爱吧》那样的人虫恋，@n女主有什么奇怪爱好什么的（bushi@n实际推完才发现，这游戏比想象中的要宏大得多，也非常值得推荐。@p真不愧是和泉老贼的巅峰之作w@p还有这个题目，我一直以为是“爱虫的少女”，@n但推完我发现，这游戏就是“虫”爱“少女”，兽魔虫真是太孝顺了！！@n所以虽然有点偏差，这个题目还是保留下来了。@p说到这部作品，我还是最喜欢【溶于森林】结局（END20），@n打完这个结局后，心里久久不能平静。@n不过这个结局在第六章，希望大家加油探索吧~@p另外，本作有三十多个结局，@n不看攻略几乎不太可能全CG通关，尤其是BONUS TRACK（欢迎探索），@n因此我在补丁里附上了全攻略和全CG存档，方便大家直接游玩！@p好了，我要说的就这么多了。@n最后，《虫爱少女》有7个FD也将开始汉化，@n希望各位能助甜心组一臂之力！@p（这段感言模仿了BONUS TRACK和泉万夜的文风x）
DevSeeD,DevSeeD.webp,无时无刻都秒回且秒出补丁的编译机器人,systemnnn引擎的游戏， 由于之前分析过且写好了自动化构建脚本，@n这个游戏就可以很快迁移过来了。@p这个游戏的难点主要是原来的文本格式非常不规范， 句子之间还有错位，@n前期迁移费了番功夫，还有一些犄角旮旯的文本需要处理。@p这次汉化整体来说进行还算顺利， 听说之前经过了好几个汉化组，@n终于要完成了~ 祝大家玩的开心。
这位同学,这位同学.webp,好像是个做程序的但怎么感觉什么都做了,这是本人参与汉化的第二部作品，对我而言也意义非凡。@n这一次算是把汉化过程中该走的流程都完整体验了一遍，@n终于敢说自己能单开坑了。@p喵喵把非常关键的真结局，以及最后的战斗部分交给我负责。@n看到是这么重要的场景，我也拿出了 120% 的精力，@n希望大家能在后半段剧情里沉浸到底。@p（已燃尽……我记得我好像只是个程序来着？）@p如果你在游玩时不会因为文本的措辞与表达感到困惑，@n且能沉浸到故事中，那就是对我们最大的支持。@n希望你能玩得开心！
百分百原味胖次,百分百原味胖次.webp,这姑娘为啥校着校着就变成了修图大佬了,大家好啊，很荣幸能参与《虫爱少女》这部游戏的汉化。@n这是我参与汉化的第四部魔器，也是越来越熟练了（笑）。@n也祝大家冲得开心！反正我是重云了~@p（这边依旧是为了让感言过审，写得非常没有意思的百分百原味胖次）@p（喵喵酱：真的没有意思吗？或许各位可以探索下这个人附近的东西）
橘猫,橘猫.webp,了解这部作品陈年往事的超级老前辈翻译,好像负责了很多东西，但感觉好像又什么东西都没干，基本纯摆烂。
情报弱者,情报弱者.webp,帮忙擦了个屁股的翻译，也不知道吃了没,少见的剧情拔，建议各位在冲的时候也看一眼HS文本，@n有不少对人物的塑造。@n另外几年前我还在等虫爱汉化，没想到现在自己也能参与进来，真的很高兴。
バカ,バカ.webp,帮忙吃了个答辩的翻译，也不知道擦了没,刚入坑就听闻魔器的大名了，@n自己上手才感觉这是被名号耽误了的宝藏佳作，都来玩喵
小白,小白.webp,因为通宵沉迷汉化导致挂科的鬼畜大学生,断断续续做了两年半，一步一步从翻译到校对再到润色，@n如今能看到汉化发布还是很高兴的（＾ω＾）@n但是同时我喜欢天马咲希也是两年半，望周知(☆^ー^☆)@p（喵喵酱：死宅真恶心，想用兽魔虫对待梦美的方式欺负小白）
星洲鯨鯊。,星洲鯨鯊。.webp,连通勤都在汉化的兄弟，不怕社死的真神,你是谁？请支持虫爱少女！
Ayachi00,Ayachi00.webp,有求必应的翻译兼润色，不给粮食都拉磨,翻译的时候感觉自己已经被触手薅了无数遍，到最后无感了。@n其实猎奇倒也没有特别猎奇吧，也可能我的身心已经很强大了喵）@n快要毕业了希望修考一切顺利，最后的最后，我永远喜欢绫地宁宁～
绅士君,绅士君.webp,有求必应的润色兼翻译，但拉磨给了粮食,虫爱少女简直就是一个乙游大世界💕@p🖤想要孔武有力，阳光开朗有炼悟🖤，@n💛想要心思缜密运筹帷幄有西💛，@n❤️想要成熟稳重有莲❤️，@n💜如果想要我们帅气的男主有优斗💜，@p💗要我说，你们虫爱玩家吃的也真是太好了吧💘，@n🎁今天我已经垂直入坑了🎉
ニャ森,,无需多言的汉化届大神，不知道咋撬来的,本质上虫爱是个主打“比我拔的没我剧情好，比我剧情好的没我拔”的游戏。@n剧情虽不算精彩，但胜在完整度高。@n拔这一块不算特别猎奇，但胜在各种play量大管饱。@p（顺便说一句，应该没有人打完之后不想养一条虫虫吧）
森凉℃,森凉℃.webp,恐怕能二十四小时连轴转的汉化唯一真神,多的不说，只愿各位能够沉浸其中，尽享其乐~
nayuta,,临危受命时苟利事业生死以的名誉老校对,很荣幸能参与这部久仰大名的佳作，给老文本全部翻新的各位苦力真的不容易
夜寒,夜寒.webp,这位红脸长须校对好像是某贴吧的吧主吧,你说得对，但《虫爱少女》是由blackcyc自主研发的一款经典ADV射姬游戏。@n游戏发生在一个存在着「虫使」的幻想世界，@n在这里，被虫选中的人将成为「苗床」，获得虫之力‌。@p你将扮演一位名为「樱井梦美」的神秘角色，@n在自♂由的旅行中邂逅性格各异、xp独特的同伴们，@n和他们一起探寻人外姦和其他猎奇xp的体验——@n同时，逐步发掘「虫爱少女」的真相。
ダレソカレ,,临危受命时岂因祸福避趋之的新鲜小校对,（并没有留下感言）
月社キサキ,,隔壁汉化组被无情挖来往死里干活的大神,没帮什么忙，各位辛苦了
なずな,なずな.webp,一半润色是这妹妹干的，出错了骂她就好,关注永雏塔菲喵，关注永雏塔菲谢谢喵@p（美弥香的白丝真棒）
bouquet,bouquet.webp,只负责监修校对的文本，把监修骂死那种,过于猎奇，不便展示@p（这位润色就是这么留的哦~）
朝日紫,朝日紫.webp,做事一丝不苟刨根问底的认真铁血真男儿,参加的第二部作品😌所以我到底是为什么蹚了这趟浑水？？？*^_^*@n每次就这样被百合骗进一趟趟贼船然后发现自己负责的部分并没有百合@n（残念）
